word,dialect,definition,example_runyoro,example_rutooro,related_words
wrath,Runyoro-Rutooro,"ekiniga. wreck, v., cwa obwato","be wrecked, cweka. wrench, v., sikura, hagura. wrestle, v., fukaana, liikana, kwata ebigwo. wrestler, v., omufukaani, omukwasi w'ekigwo.; be wrecked","be wrecked, cweka. wrench, v., sikura, hagura. wrestle, v., fukaana, liikana, kwata ebigwo. wrestler, v., omufukaani, omukwasi w'ekigwo.; be wrecked",
wretch,Runyoro-Rutooro,"omubi, omwinazi",,,
wretched,Runyoro-Rutooro,"enaku, -(a) obujune. wriggle, etiriginya, eziringura, ecwacwana. wring, kamuura, miga, myora",,,
wrinkle,Runyoro-Rutooro,"engonya z'omuntu. wrinkled, be, ehinya, ezinga enkoba, egenya hamai so",,,jegema
wrist,Runyoro-Rutooro,"obujwarro bw'enkwanzi, enyindo z'omukono. write, v., handiika. writer, it, omuhandiiki. writhe, v., ecwacwana",,,
writing,Runyoro-Rutooro,obubi,,,
wrong,Runyoro-Rutooro,"obubi, ekibi, ensobi. wrong, v., siisira",,,
ya,Runyoro-Rutooro,"ya, e-, gen., part. for nouns of els. 4 and 9, of its l.V. and the last vowel are retained or dropped according to the words surrounding them and the idea to be expressed",,,
yamahaibona,Runyoro-Rutooro,"planet near the moon, daystar",planet near the moon; Ny. engallzi y'okweri planet the favorite of the moon,planet near the moon; Ny. engallzi y'okweri planet the favorite of the moon,
yamba,Runyoro-Rutooro,"help, aid, succour",bakamuyambira busa batamusabe kantu koona; to help,bakamuyambira busa batamusabe kantu koona; to help,
yarn,Runyoro-Rutooro,ehuuzo,tellyarns,tellyarns,
yawn,Runyoro-Rutooro,omwaka gwona. -a boli mwaka,,,yes
yayuuka,Runyoro-Rutooro,be thin and insubstantial (as cloth,,,
yearly,Runyoro-Rutooro,"omwaka ba mwaka. verb. yearn, for, jura, oya, byaha. yearning, amairu, obubya, ek.ihika, amabya. yeast, ekitumbisa",,,
yekaru,Runyoro-Rutooro,"and 9, they, it respectively, capable of being prefixed onto pronowninal roots",kalituusi yo teegwire; aJI of it,kalituusi yo teegwire; aJI of it,
yobyo,Runyoro-Rutooro,"native vegetable with small white flowers, African spicter (eleome aynandra","native vegetable with small white flowers; native vegetable with small white flowers, African spicter (eleome aynandra)","native vegetable with small white flowers; native vegetable with small white flowers, African spicter (eleome aynandra)",
yogoora,Runyoro-Rutooro,"disperse, melt a way (crowd",disperse,disperse,
yolk,Runyoro-Rutooro,"ekizooba k'ihuli. yonder, oku, ifo, nseeri, kuli, bamwondo. you, iwe","pl., inywe","pl., inywe",
yonda,Runyoro-Rutooro,plait strands together (rope,c. form; pr. form,c. form; pr. form,
yooka,Runyoro-Rutooro,go all together,y. ebyoku/ya; p1: fonn,y. ebyoku/ya; p1: fonn,
yoora,Runyoro-Rutooro,"gather, together in hands, scoop up",pr. form; to gather,pr. form; to gather,
young,Runyoro-Rutooro,"-to. yellow, adj., -a kyeoju, -engere, -a binzaali",see kuuta. yes; bey,see kuuta. yes; bey,kuuta
youngest,Runyoro-Rutooro,"macura. yodel, huugura. yesterday, adj., ijo","day before y., ijweri. youngstar, omutomuto, (many) abatobato. your,-awe; see kabba. yourself","day before y., ijweri. youngstar, omutomuto, (many) abatobato. your,-awe; see kabba. yourself","kabba, ente"
youth,Runyoro-Rutooro,"obuto, obusigazi, obwisiki",,,
yuga,Runyoro-Rutooro,become loose,"pass. of c.form,yugibwa, ku-, oku- (pf. -yugiibwe).; c.fonn,yugya, ku-, oku- (pf. -yugize)","pass. of c.form,yugibwa, ku-, oku- (pf. -yugiibwe).; c.fonn,yugya, ku-, oku- (pf. -yugize)",
yuguruka,Runyoro-Rutooro,"get loose, expand, have room to move (after being crowded",to get loose,to get loose,
yuguura,Runyoro-Rutooro,come to an end (feast,,,
yunganiza,Runyoro-Rutooro,join together,"pass. of c. form, yu1 lganit)bwa, ku-, oku- (pf. -yunganiziibwe).; pass. of c. form","pass. of c. form, yu1 lganit)bwa, ku-, oku- (pf. -yunganiziibwe).; pass. of c. form",
yungayunga,Runyoro-Rutooro,& v.tr,to be tossed about; y. ebigambo,to be tossed about; y. ebigambo,
yungukira,Runyoro-Rutooro,overlap and bind together,"onnvana ekiba ky 'en/cu obu kyamulemere kwetweka, ise yakimuj 1110 yakinyungikira ha /eye, when the bundle of fire wood proved too heavy for the child, his father removed it from him and overlapped it to his own.; onnvana ekiba ky 'en/cu obu kyamulemere kwetweka","onnvana ekiba ky 'en/cu obu kyamulemere kwetweka, ise yakimuj 1110 yakinyungikira ha /eye, when the bundle of fire wood proved too heavy for the child, his father removed it from him and overlapped it to his own.; onnvana ekiba ky 'en/cu obu kyamulemere kwetweka",
yunivasite,Runyoro-Rutooro,"f, gold",engoye ze; engoye z'omwana,engoye ze; engoye z'omwana,
yuoga,Runyoro-Rutooro,"join, splice, set, (broken limb",obu yahendekere okuguru bakamutwarra omubuyi kumuyunga; to join,obu yahendekere okuguru bakamutwarra omubuyi kumuyunga; to join,
zaagagara,Runyoro-Rutooro,spread all over (e.g. branches,pr. form; omuti gugwire gwazagagaarra omuzigati yange yoona,pr. form; omuti gugwire gwazagagaarra omuzigati yange yoona,
zaagira,Runyoro-Rutooro,"collect together outside the kraal (cows), take rest",pr. form; ente zizagiriire omumusiri,pr. form; ente zizagiriire omumusiri,
zaagiza,Runyoro-Rutooro,of foreg,z. orulimi,z. orulimi,
zaaguruka,Runyoro-Rutooro,go from resting-place to feed at midday (cows,ezaagira etazagurukire ezaagururwa ekiraso; bring forth abundantly,ezaagira etazagurukire ezaagururwa ekiraso; bring forth abundantly,
zaagurukana,Runyoro-Rutooro,"multiply, increase, spread, be brought forth abundantly",to multiply; ekisunsa kimu kyonka nikisobora kuzaagurukana kikatwara 011lwallya mukooru muno,to multiply; ekisunsa kimu kyonka nikisobora kuzaagurukana kikatwara 011lwallya mukooru muno,
zaaguurra,Runyoro-Rutooro,"take (cows), from resting","pass.form; pass.form, zaag11rurwa, k11-, ok11- (pf.-zaagurwirwe)","pass.form; pass.form, zaag11rurwa, k11-, ok11- (pf.-zaagurwirwe)",
zaahuka,Runyoro-Rutooro,"return from far, reappear, return rrom exile",to return from far,to return from far,
zaahura,Runyoro-Rutooro,bring back from far off,pass. form; pr. fonn. zaal1lllrra,pass. form; pr. fonn. zaal1lllrra,
zaaliriza,Runyoro-Rutooro,"dally with, neglect, allow to spread",to dally with; akazaaliriza omusuma omunju ye ekyarugiremu yaiba abantu be,to dally with; akazaaliriza omusuma omunju ye ekyarugiremu yaiba abantu be,
