word,dialect,definition,example_runyoro,example_rutooro,related_words
mwagaza,Runyoro-Rutooro,fill to overflowing,,,
mwagiro,Runyoro-Rutooro,"blue speedwell (Veronica abyasinica). mwahi, o-, 11. cl. 1, (pl. baahi, a-",blue speedwell (Veronica abyasinica). mwahi; beater (in hunting). mwahuko,blue speedwell (Veronica abyasinica). mwahi; beater (in hunting). mwahuko,
mwamba,Runyoro-Rutooro,"enju, ya m., amaju ga m., rectangular house(s). Mwamba, o-, n., cl.I, (pl. Baamba, a-",a native of Bwamba. mwambi; enju,a native of Bwamba. mwambi; enju,
mwegeerra,Runyoro-Rutooro,"smile faintly, smile shyly. mwegeerra, o-, . i",smile faintly; to smile at. mwegcndereza,smile faintly; to smile at. mwegcndereza,mullagiro
mwengenge,Runyoro-Rutooro,left over of salt or salt water after cows have had their fill,one who has lost interest in life. mwenyanya iho; milk from cows that have licked salt or drunk salt water. mwenugi,one who has lost interest in life. mwenyanya iho; milk from cows that have licked salt or drunk salt water. mwenugi,
mwereerra,Runyoro-Rutooro,"sneeze. mwescngcrezi,O-, 11.cl. I, (pl. beesengerezi, a-",rebel; shave round (spot,rebel; shave round (spot,"omusiitale, obugombe"
mwiseruganda,Runyoro-Rutooro,"relative. mwisi w'amaka, 11. (pl. baisi baamaka, a-",notorious character -known for causing trouble. mwisi; murderer. mwisi,notorious character -known for causing trouble. mwisi; murderer. mwisi,orunyana
mwitanzige,Runyoro-Rutooro,"lake Albert. mwitiro, o-, (pl. nil",smell of smoke in milk. mwituruzo; lake Albert. mwitiro,smell of smoke in milk. mwituruzo; lake Albert. mwitiro,"pumpkin, omwohi"
myalikya,Runyoro-Rutooro,{pf. myal ikize,my. amaiso,my. amaiso,m
myankya,Runyoro-Rutooro,streak -m11/ikya,,,
myeduudo,Runyoro-Rutooro,bad behaviour,,,
myenyumizo,Runyoro-Rutooro,"pride, self exaltation, boasting",pride,pride,
myoka,Runyoro-Rutooro,"be strained, sprained","to be strained, sprained.; to be strained","to be strained, sprained.; to be strained",
myora,Runyoro-Rutooro,"tum, twist, screw, wind",to tum; pr. form,to tum; pr. form,
myoro,Runyoro-Rutooro,alld 10,raw material used for making baskets. N Alveolar nasal consonant in'Runyoro-Rutooro; egi lljIlyange,raw material used for making baskets. N Alveolar nasal consonant in'Runyoro-Rutooro; egi lljIlyange,
myriad,Runyoro-Rutooro,"ekitabarwa, obuhumbe",,,
myrrh,Runyoro-Rutooro,omugaju,,,
mystery,Runyoro-Rutooro,"ekitarukumanywa, ekigambo eky'ensita",see isaoo. mystify; tama omuntu,see isaoo. mystify; tama omuntu,isaoo
naabisa,Runyoro-Rutooro,of c,to cause one to wash; omunru kunaba akaera anaabisa esabbuuni,to cause one to wash; omunru kunaba akaera anaabisa esabbuuni,
naaho,Runyoro-Rutooro,"ox, bullock",,,
naanika,Runyoro-Rutooro,"be elastic, extendable, open out",to be elastic; to put on (shoes,to be elastic; to put on (shoes,
nagaija,Runyoro-Rutooro,"to treat carelessly, throw about, neglect, make light of",c.form; kintu ki ekisobora kunagaijisa omuzaire omwana we? What would be the cause of a parent to neglect his/her child? pass. form,c.form; kintu ki ekisobora kunagaijisa omuzaire omwana we? What would be the cause of a parent to neglect his/her child? pass. form,
naganaga,Runyoro-Rutooro,{pf.-naganagirc,"to scatter; to scatter, litter {paper, things unwanted) in public place, throw things anywhere","to scatter; to scatter, litter {paper, things unwanted) in public place, throw things anywhere",
nagisa,Runyoro-Rutooro,{pf. -oagisize,to bring back,to bring back,
nagura,Runyoro-Rutooro,beat out and renovate (old knives,,,
naiga,Runyoro-Rutooro,"trot about, walk aimlessly",to trot about; Ruhanga tatuleka tukanaiga,to trot about; Ruhanga tatuleka tukanaiga,
naijora,Runyoro-Rutooro,f small sickle = noijoro e-,,,noijoro
nail,Runyoro-Rutooro,omusomaali,"go n hanya; go n hanya, k:wenyuka, togatoga","go n hanya; go n hanya, k:wenyuka, togatoga",
nakedness,Runyoro-Rutooro,"enjuuro, okuba busa, okujwara busa",,,
naku,Runyoro-Rutooro,"need, trouble, grief, sorrow",need,need,
namba,Runyoro-Rutooro,"{pl. same), hole in the earth, mine",loads,loads,
name,Runyoro-Rutooro,"ibara, see ekik:ubyo, empaako, ekirukiirro, ek.ikugizo. name, v., ruka ibara, gambabo, haaka, atura","be named after, etererwa; be named after","be named after, etererwa; be named after",ekik
nana,Runyoro-Rutooro,space between two middle top and lower teeth,,,
nanaasi,Runyoro-Rutooro,/ pinapple,,,
nanasa,Runyoro-Rutooro,make red,,,
nanata,Runyoro-Rutooro,{pf. -nanasire,"pass from 1, 11anatwa, ku-, ok11-(pf.-nanasirwe).; out date","pass from 1, 11anatwa, ku-, ok11-(pf.-nanasirwe).; out date",
nanuka,Runyoro-Rutooro,"be sure, convinced",be satisfied; to be sure,be satisfied; to be sure,
nanura,Runyoro-Rutooro,"assure, explain the truth, convince, to satisfy, open up, give what is needed","to assure; pass.form, 11al111rwa, ku-, oku-, (pf. -nanwirwe)","to assure; pass.form, 11al111rwa, ku-, oku-, (pf. -nanwirwe)",
naonuura,Runyoro-Rutooro,"pull off (shoes, ring), pull out or apart, disengage, stretch out, straighten, pull down, etc",to pull off (shoes; akamu11aa1111urra ekikwaso yamunoba,to pull off (shoes; akamu11aa1111urra ekikwaso yamunoba,"below, r"
nape,Runyoro-Rutooro,engoto,,,
napkin,Runyoro-Rutooro,"ekitambaara, ekikoba. narrate, v., gamba, tebeza, tebya","see ganikya, subiirra. narrow, -funzire, -kingirwe; see ganikya","see ganikya, subiirra. narrow, -funzire, -kingirwe; see ganikya",ganikya
narrowness,Runyoro-Rutooro,enyindo,"see ebinyanyindo. nasty, -bi, -siisikaire","see ebinyanyindo. nasty, -bi, -siisikaire",ebinyanyindo
nasuka,Runyoro-Rutooro,"spring (trap), = bbasuka",,,bbasuka
nation,Runyoro-Rutooro,"ihanga, small nations, obuhanga",many nations,many nations,
nativity,Runyoro-Rutooro,"obuhangwa, -(a) okuzaarwa, -(a) obuzaarraanwa, -(a) omubiri",,,
nature,Runyoro-Rutooro,"obuzaarmnwa, obuhangwa, omulingo, empangwa, obugoga, engiingo",,,
naughtiness,Runyoro-Rutooro,"itima,-bi",,,
nausea,Runyoro-Rutooro,"ensesemi, ekitaamisi, okuzizimbukwa omutima. nausea, v., sesemya, zizimbura",,,
navel,Runyoro-Rutooro,"omukundi, iromba, elciromba, ekinosi",,,
navy,Runyoro-Rutooro,"itungo ly'amaato. near, adj., -a baihi, -beerraine",,,
ncampalya,Runyoro-Rutooro,"withered breasts, sagging of breasts","withered breasts, sagging of breasts.; withered breasts","withered breasts, sagging of breasts.; withered breasts",
ncompya,Runyoro-Rutooro,"untrustworthy, deceitful person, mischief maker. ncoobe, c-, 11. cl. 9, (pl. same",untrustworthy; beer drunk on wedding eve by the relatives of the bride and of the bridegroom,untrustworthy; beer drunk on wedding eve by the relatives of the bride and of the bridegroom,ent
ncooyooyo,Runyoro-Rutooro,pl. same,,,
ncu,Runyoro-Rutooro,fish,,,
ncwamutwe,Runyoro-Rutooro,"calf before horns have grown. ncwangya, c-, (pl. same",sly; calf before horns have grown. ncwangya,sly; calf before horns have grown. ncwangya,
ncwekamatu,Runyoro-Rutooro,"goat, etc. that has had its ears cut off",goat,goat,
ncweke,Runyoro-Rutooro,one whose children have died,,,
ncwera,Runyoro-Rutooro,"African cobra, viper, black adder",,,
nda,Runyoro-Rutooro,"louse, stomach, womb, interior of any thing",ba 11'enda; louse,ba 11'enda; louse,
ndaawa,Runyoro-Rutooro,"ndaawa, e-, tree found in Bwamba, from the bark of which a red dye is obtained, also a medicine for dysentery. It is used in trial by ordeal",,,
ndabukano,Runyoro-Rutooro,present given to King or Chief (esp. on appointment or promotion,sharp; or to bride by one of husband's relation. odabukya,sharp; or to bride by one of husband's relation. odabukya,
ndagaano,Runyoro-Rutooro,"bargain, coaveaan, agreement",bargain,bargain,
ndagalika,Runyoro-Rutooro,"odd one, over-plus",fallen trung; odd one,fallen trung; odd one,
ndanda,Runyoro-Rutooro,"ndanda, e-, adv., incessantly",,,
ndangira,Runyoro-Rutooro,"calabash with long neck (for beer, etc",calabash with long neck (for beer,calabash with long neck (for beer,
ndayampunu,Runyoro-Rutooro,Royal quiver,,,
ndebolebo,Runyoro-Rutooro,"border, edge",border,border,
ndeeba,Runyoro-Rutooro,"shallow hole in which to tread bananas for beer, wine press vat ndeerberwam u, e-, (pl. same",shallow hole in which to tread bananas for beer; looking glass,shallow hole in which to tread bananas for beer; looking glass,
ndemba,Runyoro-Rutooro,cow with white stripes on face and sides,,,
ndembezi,Runyoro-Rutooro,gourd used for water and hung at entrance of house,,,
ndengi,Runyoro-Rutooro,"one who measures or rations food, stingy person",one who measures or rations food,one who measures or rations food,
ndeogo,Runyoro-Rutooro,"measure (of capacity). nderaJera,c-,11.c/.9,(pl.same",lowerpart ofabdomen,lowerpart ofabdomen,
ndere,Runyoro-Rutooro,"pipe, flute",pipe,pipe,
nderema,Runyoro-Rutooro,"creeper with edible leaves (base/la alba). -ndi, partitive pronom. root, other, different","creeper with edible leaves (base/la alba). -ndi, partitive pronom. root, other, different; creeper with edible leaves (base/la alba). -ndi","creeper with edible leaves (base/la alba). -ndi, partitive pronom. root, other, different; creeper with edible leaves (base/la alba). -ndi",
ndiisa,Runyoro-Rutooro,manner of feeding,,,
ndima,Runyoro-Rutooro,"manner of digging, cultivation, familiar friend",manner of digging,manner of digging,
ndimawa,Runyoro-Rutooro,f lime (fruit,,,
ndimi,Runyoro-Rutooro,languages,en. z'omuro,en. z'omuro,
ndimu,Runyoro-Rutooro,/ lemon,,,
ndindiro,Runyoro-Rutooro,musical instrument with one string,ekirindiro. ndingidi,ekirindiro. ndingidi,
ndobo,Runyoro-Rutooro,tackle,"emotoka giteere en., free the car, make it roll or drive in free gear.; fish -hook. ndobo","emotoka giteere en., free the car, make it roll or drive in free gear.; fish -hook. ndobo",
ndoci,Runyoro-Rutooro,a fish -barbel,,,
ndokwa,Runyoro-Rutooro,shoot,,,
ndolerezi,Runyoro-Rutooro,one who watches expectantly,,,
ndoma,Runyoro-Rutooro,omudomadoma,,,
ndongo,Runyoro-Rutooro,"ndongo, e-,n., guitar, musical instrument",,,
ndoora,Runyoro-Rutooro,name given to nice cows or certain cows of the Kings,,,
ndubata,Runyoro-Rutooro,"manner of walking, gait, pace",manner of walking,manner of walking,
ndubate,Runyoro-Rutooro,"ndubate, e-, 11., flattened and sun dried meat",,,
ndubatira,Runyoro-Rutooro,snare for catching birds,"omuurro gw'en., fire which burns soles of feet when treading on it","omuurro gw'en., fire which burns soles of feet when treading on it",
ndugaho,Runyoro-Rutooro,{pl. same,first-hand information,first-hand information,
ndugiirro,Runyoro-Rutooro,"start, origin",start,start,
ndugu,Runyoro-Rutooro,"corner (in a house), side of house",,,
ndumbiizi,Runyoro-Rutooro,"generic term for wild beast wltich devours sheep, goats, etc",generic term for wild beast wltich devours sheep,generic term for wild beast wltich devours sheep,
ndurwa,Runyoro-Rutooro,gall-bladder,,,
nduupe,Runyoro-Rutooro,conspirator,,,
nduuru,Runyoro-Rutooro,"alarm, cry made while rapidly patting the mouth",alarm,alarm,
ndwara,Runyoro-Rutooro,"sickness, disease, illness, ailment",sickness,sickness,
ndyaga,Runyoro-Rutooro,plenty of food,,,
ndyakiro,Runyoro-Rutooro,"ndyakiro, e-, n., c/.9, (used as attribute ""t",,,
ndyamiti,Runyoro-Rutooro,"axe, == endemu",,,endemu
ndyanga,Runyoro-Rutooro,"skin bag, leather bag, pocket money",Abasaija bagada ogigamba noohanika endyanga; skin bag,Abasaija bagada ogigamba noohanika endyanga; skin bag,
near,Runyoro-Rutooro,haihi,,,
nearly,Runyoro-Rutooro,"haihi, hake",see almost,see almost,almost
neatness,Runyoro-Rutooro,"obwecumi, enkwato",,,
necessity,Runyoro-Rutooro,"amaseege, okwetaaga, okutaaga, obukene",,,
neck,Runyoro-Rutooro,"ebikya, engoto",,,
necklace,Runyoro-Rutooro,"enkwanzi, ekifuko, omuniga, ek:isambi, ek:iyondo, ensinda, encaru, omuhuruzi, ebigisa, emifubaso, ekihunde, embwera, ekikondere, amakoita",,,
need,Runyoro-Rutooro,"enaku, omutaago, ekyetaago, okwetaaga. need, v. enda, burwa, saasibwa, seerra, taaga, etaaga, seega. needle, 11., empindo, enkinzo, orukato, ombindo. needy, be, seega, inara",,,
negekeerra,Runyoro-Rutooro,be laden with fruit,,,
negena,Runyoro-Rutooro,"shake about, wobble, be loose",to shake about; c.form,to shake about; c.form,
neglect,Runyoro-Rutooro,"oagaija, zaaliriza, curoanga, saagisa","n. 011ese/f. enoba; n. 011ese/f. enoba, enagaija, efaakaaza, cfaafaaniza. negligence, v., okwebwa, okuleka, okuteetaho, okuhuga omutima","n. 011ese/f. enoba; n. 011ese/f. enoba, enagaija, efaakaaza, cfaafaaniza. negligence, v., okwebwa, okuleka, okuteetaho, okuhuga omutima","ehenda, obwenugi"
negro,Runyoro-Rutooro,"nk'embaraasi, hebebera",,,
neguka,Runyoro-Rutooro,come off (e.g. head oflocust,,,
negura,Runyoro-Rutooro,nod (head,,,
neighbour,Runyoro-Rutooro,"omutaahi. nice, -rungi, -semiire, -nuzire",,,enyamibwa
neighbourhood,Runyoro-Rutooro,"• obutaahi, ensi enyakuheerraine. nick, v., giga, sura. neighbourlin ess, n.. obutaahi",,,
nekeerra,Runyoro-Rutooro,wear soft trailing gaanents,to bear much fruit; to wear soft trailing gaanents,to bear much fruit; to wear soft trailing gaanents,
nekya,Runyoro-Rutooro,"make wet through, make soft","to make wet through; to make wet through, make soft","to make wet through; to make wet through, make soft",
nencza,Runyoro-Rutooro,,"to be gloomy; pass.form, 11e11ezeb111n, ku-, ok11- (pf. -neneziibwe)","to be gloomy; pass.form, 11e11ezeb111n, ku-, ok11- (pf. -neneziibwe)",
nenera,Runyoro-Rutooro,"be dry, ready for picking (millet",to be dry,to be dry,
nengo,Runyoro-Rutooro,"slop, descent",buli Kasozi m'engoyako; slop,buli Kasozi m'engoyako; slop,
nephew,Runyoro-Rutooro,"omwihwa, mutabani wa mukuru waawe/muto waawe",,,
nerve,Runyoro-Rutooro,akanywa,,,
nervousness,Runyoro-Rutooro,"• okutiina, entengera entengetera, entiti",,,
nese,Runyoro-Rutooro,dysentery,,,
nest,Runyoro-Rutooro,"ekiju, ekisuli","see waimiri. nimble; see waimiri. nimble, be, anguha, rabukya, gunjukire","see waimiri. nimble; see waimiri. nimble, be, anguha, rabukya, gunjukire",waimiri
net,Runyoro-Rutooro,"etimba, ekiiteeko, omujabura, omwarro",,,
nettle,Runyoro-Rutooro,"akamyakeogeye, omumya, oburaara. nine thousand, n. kcnda",,,
nettlerasb,Runyoro-Rutooro,"rumura, rumurra. nipple, n., omunwa gw'ibeere, eoywato",,,
never,Runyoro-Rutooro,"never mind, tilciri kigambo, otafaayo, otafaaho. no, v., a'a, nga, nangwa, kwaha",with neg. form of v.i,with neg. form of v.i,never
nevertheless,Runyoro-Rutooro,"ekitiinisa,-rungi. new, -byaka",see moon. nobleman,see moon. nobleman,moon
newness,Runyoro-Rutooro,"obuhyaka. nobody, busaho muntu, waaba. news, 11, ebigambo, amakuru, amahurre",use; get news of. huurraabo. nocturnal,use; get news of. huurraabo. nocturnal,okuhinda
nfenanfe,Runyoro-Rutooro,"bossom friend, friend indeed",bossom friend,bossom friend,
nfuli,Runyoro-Rutooro,absence of prepuce,,,
nfumbi,Runyoro-Rutooro,"swollen glands, lymph node",swollen glands,swollen glands,
nfundo,Runyoro-Rutooro,calf (of leg,,,
nfuuni,Runyoro-Rutooro,a worn out hoe,,,
ngabu,Runyoro-Rutooro,pl. zangabu,,,to
nganda,Runyoro-Rutooro,"class, tribes, clans",class,class,
nganikyo,Runyoro-Rutooro,white geranium,"fables, stories. ngaoja butukwire, n., cl.9, (pl. same); fables","fables, stories. ngaoja butukwire, n., cl.9, (pl. same); fables",
nganzi,Runyoro-Rutooro,"favQurite, beloved one",favQurite,favQurite,
ngaraate,Runyoro-Rutooro,skin mat,,,
ngarabi,Runyoro-Rutooro,long drum beaten with the hands,,,
ngaro,Runyoro-Rutooro,hand,engaro nke ikaakya omwana ehuiya; en. ensa,engaro nke ikaakya omwana ehuiya; en. ensa,
nge,Runyoro-Rutooro,"shame, disgrace",shame; scorpion. -nge,shame; scorpion. -nge,
ngemeko,Runyoro-Rutooro,clay bottle,,,
ngenda,Runyoro-Rutooro,"gait, pace, walk",gait,gait,
ngendo,Runyoro-Rutooro,"travels,journeys",,,
ngenzi,Runyoro-Rutooro,species of beetle,friend,friend,
ngeso,Runyoro-Rutooro,"custom, habit, act, deed, conduct",custom,custom,
ngezi,Runyoro-Rutooro,"running water, stream current",running water,running water,
ngiga,Runyoro-Rutooro,"notch, joint",notch,notch,
ngiri,Runyoro-Rutooro,wart-hog,,,
ngisa,Runyoro-Rutooro,wooden charms to prevent disease,,,
ngobya,Runyoro-Rutooro,"cunning, deceitful person, cheat, blackmailer",cunning,cunning,
ngoga,Runyoro-Rutooro,open wound,,,
ngolya,Runyoro-Rutooro,drum,en. y'ekiswa,en. y'ekiswa,
ngondo,Runyoro-Rutooro,cow with white spots,,,
ngongababara,Runyoro-Rutooro,whydab finch,,,
ngonzi,Runyoro-Rutooro,"pointed end of arrow, something for sale or exchange",ellgolli za Ruhanga ituteeranii=e; pointed end of arrow,ellgolli za Ruhanga ituteeranii=e; pointed end of arrow,e
ngoonyo,Runyoro-Rutooro,place where travelers pass the night while on a journey,place where travelers pass the night while on a journey; lodge,place where travelers pass the night while on a journey; lodge,
ngote,Runyoro-Rutooro,a tree from which barkcloth mallets are made,,,
ngoti,Runyoro-Rutooro,"ngoti, e-, tree from which barkcloth mallets are made, also hoe handles and walking-sticks",,,
ngoto,Runyoro-Rutooro,nape of neck,,,
ngozi,Runyoro-Rutooro,"cloth arranged for carrying a child on the back. ngu, join. word, that",sometimes used for hearsay; cloth arranged for carrying a child on the back. ngu,sometimes used for hearsay; cloth arranged for carrying a child on the back. ngu,
nguli,Runyoro-Rutooro,"g. rainery, barn, store","g. rainery, barn, store.; g. rainery","g. rainery, barn, store.; g. rainery",
ngumangani,Runyoro-Rutooro,"hardhearted, obstinate person",hardhearted,hardhearted,
ngundu,Runyoro-Rutooro,"chief bull of the herd. Ngunduzoona, int.. salutation addressed to chiefs (formerly) and to the Queen-Mother. ngun guuza,e-. n., cl.9, (pl. same",one who goes alone at night; chief bull of the herd. Ngunduzoona,one who goes alone at night; chief bull of the herd. Ngunduzoona,
ngusuuru,Runyoro-Rutooro,"plant with yellow poisonous fruit, colocynth",plant with yellow poisonous fruit,plant with yellow poisonous fruit,
nguzi,Runyoro-Rutooro,bribe,,,
ngwara,Runyoro-Rutooro,"horn, trumpet",horn,horn,
ngweta,Runyoro-Rutooro,will testament,,,
ngwetano,Runyoro-Rutooro,"property left, legacy",property left,property left,
ngyangaoi,Runyoro-Rutooro,backbiter(= 01111lgey,,,
nib,Runyoro-Rutooro,akalimi k'okuhandiikisa,,,
nibisa,Runyoro-Rutooro,"over satisfy, surfeit",to over satisfy,to over satisfy,
nickname,Runyoro-Rutooro,"kbu, noobwakubai re. nickname, v., rukiirra",,,
nicotine,Runyoro-Rutooro,"ebizinda, obujumba",,,
niga,Runyoro-Rutooro,"strangle, choke",c. form; to strangle,c. form; to strangle,
nigh,Runyoro-Rutooro,haihi,,,
night,Runyoro-Rutooro,ekiro,midnight; n. has fallen,midnight; n. has fallen,
nightjar,Runyoro-Rutooro,"orutambaisiga, orumboto, ekisomabwire. nile,kiira",,,
niha,Runyoro-Rutooro,be satisfied with food,to get enough of something. Akaba atakalyaga nyama akaginiha; to hope,to get enough of something. Akaba atakalyaga nyama akaginiha; to hope,
nihiza,Runyoro-Rutooro,10 promise,okaannihiza kumpa ente; pr. c.form,okaannihiza kumpa ente; pr. c.form,
nihya,Runyoro-Rutooro,be over satisfied,"aka/ya enyama nyingiyamunihya hati takyagigonza; passjorm, 11ihibwa, k11-, ok11-(pf.-nihiibwe)","aka/ya enyama nyingiyamunihya hati takyagigonza; passjorm, 11ihibwa, k11-, ok11-(pf.-nihiibwe)",Iihisa
niiniira,Runyoro-Rutooro,"be very glad, ex.act",to be very glad; nkabatangaana bali omuk11niiniira okw'amahano,to be very glad; nkabatangaana bali omuk11niiniira okw'amahano,
niiniirwa,Runyoro-Rutooro,foreg,,,
niinuuka,Runyoro-Rutooro,be finely ground,,,
niinuura,Runyoro-Rutooro,grind finely,eki ogambire nikyo; izooba liri hara muno naitwe,eki ogambire nikyo; izooba liri hara muno naitwe,
nine,Runyoro-Rutooro,mwenda,,,
ninga,Runyoro-Rutooro,"notch, ring",to make much of; to notch,to make much of; to notch,
nio,Runyoro-Rutooro,"anus, buttocks, bottom",anus,anus,
niobora,Runyoro-Rutooro,"insult, abuse bitterly",insult,insult,
njaahi,Runyoro-Rutooro,"Indian hemp, bhang, opium",Indian hemp,Indian hemp,
njagara,Runyoro-Rutooro,"variety of plantain (euy ammmy u), with long fruits",,,
njagi,Runyoro-Rutooro,plant the fruit of which is eaten or used as relish,,,
njara,Runyoro-Rutooro,"destructive gale, hurricane, cyclone, tornado, thunder bolt, lightening-stroke",hungef; destructive gale,hungef; destructive gale,
njaza,Runyoro-Rutooro,reed buck,,,
njeode,Runyoro-Rutooro,"slender, delicate person",slender,slender,
njeru,Runyoro-Rutooro,f gospel (=evanjin',white sheep. njir.i,white sheep. njir.i,evanjin
njobe,Runyoro-Rutooro,marsh antelope,,,
njoga,Runyoro-Rutooro,,coney,coney,el
njoka,Runyoro-Rutooro,"snake, worm internal pains",en.z'emiti; snake,en.z'emiti; snake,
njokambi,Runyoro-Rutooro,bad temper,,,
njoki,Runyoro-Rutooro,bees,,,
njooje,Runyoro-Rutooro,small earthenware bottle,,,
njuba,Runyoro-Rutooro,blood pudding,see obukorongo,see obukorongo,obukorongo
njubu,Runyoro-Rutooro,hippopotamus,,,
njugangi,Runyoro-Rutooro,cow which mows for salt,,,
njumba,Runyoro-Rutooro,variety of plantain tree with red stem and leaves,,,
njwara,Runyoro-Rutooro,pl. nil,"way of clothing; way of clothing, attire","way of clothing; way of clothing, attire",
nka,Runyoro-Rutooro,"about, aizirege nka saaha itaano z'ekiro, he/she arrived at about 11:00p.m. nka, join. word, like, as",munmgi nka ise,munmgi nka ise,
nkaanaana,Runyoro-Rutooro,flower sheath of plantain,flower sheath of plantain,flower sheath of plantain,
nkaito,Runyoro-Rutooro,"sandal, shoe",sandal,sandal,
nkara,Runyoro-Rutooro,black cow or ewe,black cow or ewe,black cow or ewe,
nkarakarwa,Runyoro-Rutooro,a shrub the leaves of which are used for cleaning the teeth and as an emetic,"blackened vegetation left by fire. nkaran ga; blackened vegetation left by fire. nkaran ga, e-, n., cl.9, (pl. same)","blackened vegetation left by fire. nkaran ga; blackened vegetation left by fire. nkaran ga, e-, n., cl.9, (pl. same)",
nkarangc,Runyoro-Rutooro,"oburo bw'enkarange, roasted grains of millet",oburo bw'enkarange,oburo bw'enkarange,
nkarwa,Runyoro-Rutooro,leg trick as in wrestling,,,
nkaunuoki,Runyoro-Rutooro,"rude, unsocial, unkind person",rude,rude,
nkeerraoo,Runyoro-Rutooro,"okwezi kw'enkeerrano., moon when about three weeks old seen in the early morning","okwezi kw'enkeerrano., moon when about three weeks old seen in the early morning","okwezi kw'enkeerrano., moon when about three weeks old seen in the early morning",
nkeeto,Runyoro-Rutooro,skin used as mat,very heavy load,very heavy load,
nkenku,Runyoro-Rutooro,sour beer made with very little sorghum,,,
nkere,Runyoro-Rutooro,water-frog,,,
nkerebe,Runyoro-Rutooro,"dog faced ape, baboon",dog faced ape,dog faced ape,
nkerembe,Runyoro-Rutooro,"infant, baby",infant,infant,
nkero,Runyoro-Rutooro,nozzle of bellows,,,
nkiirri,Runyoro-Rutooro,"en. y'ente, yoke of oxen",en. y'ente,en. y'ente,
nkima,Runyoro-Rutooro,small grey monkey,enk tecwa gwa kibira,enk tecwa gwa kibira,
nkini,Runyoro-Rutooro,"grudging spirit, vexation, annoy",grudging spirit,grudging spirit,
nkinuuki,Runyoro-Rutooro,"rude, unsociable, unkind person",rude,rude,
nkinzo,Runyoro-Rutooro,needle,,,
nkiro,Runyoro-Rutooro,"direction, distance, horizon, dip between two distant hills","direction; direction, distance, horizon, dip between two distant hills","direction; direction, distance, horizon, dip between two distant hills",
nko,Runyoro-Rutooro,"piece of wood for sharpening razors and spears, strop",piece of wood for sharpening razors and spears,piece of wood for sharpening razors and spears,
nkoba,Runyoro-Rutooro,"nkoba, e-, Lovoa brownii. Tree yielding a timber resembling walnut. Mildbraediodendron excelsum. Tall tree with pinnate leaves and round fruits the size of oranges, with flavour of raw French-beans",,,
nkobe,Runyoro-Rutooro,north-east wind,,,
nkokoromi,Runyoro-Rutooro,cock,,,
nkokwa,Runyoro-Rutooro,tree from which rope used in building is made,,,
nkolyo,Runyoro-Rutooro,pl. same,feeble,feeble,
nkomakomi,Runyoro-Rutooro,one who picks up any thing dropped <lccidl!ntally by a traveler on the way,,,
nkomo,Runyoro-Rutooro,stocks,enju y 'en,enju y 'en,
nkondo,Runyoro-Rutooro,"stake, peg, forked stick, post of bed",stake,stake,
nkondwe,Runyoro-Rutooro,"nkondwe, e-, small tree with pretty pinkish-purple flowers. The bark is used for making rope. Securidaca /011gipedullculala . nkurajo, c-, A short-lived, fast-growing species found in forest gaps. Trema guineensis",,,
nkonera,Runyoro-Rutooro,"variety of plantain (e11yam111111y11), with short fruits",,,
nkonge,Runyoro-Rutooro,"stamp of tree, per ext., stambLing block",akanfookera nkonge; stamp of tree,akanfookera nkonge; stamp of tree,
nkongoor,Runyoro-Rutooro,small wooden milk pot,,,
nkongooro,Runyoro-Rutooro,small wooden milk pot,,,
nkongootera,Runyoro-Rutooro,"back of bead, occupant",,,
nkoni,Runyoro-Rutooro,pipe-stem euphorbia,,,
nkonkomerezi,Runyoro-Rutooro,"woodpecker, = (nko11kol1am11ti, e-). en. tekonkomera kunaga, a woodpecker does not necessarily peck the dry tree to fell it down",,,
nkonkomoko,Runyoro-Rutooro,"descent, slope",descent,descent,
nkonokono,Runyoro-Rutooro,"omunlu ow'enk., ambidextrous person",kwata en.. hold with shaky hand,kwata en.. hold with shaky hand,
nkonombo,Runyoro-Rutooro,a flower-sheath of plantain,a flower-sheath of plantain,a flower-sheath of plantain,
nkonwa,Runyoro-Rutooro,"castrated bull, ram, etc",castrated bull,castrated bull,
nkonya,Runyoro-Rutooro,"stamp of plantain tree, roots of papyrus",,,
nkooba,Runyoro-Rutooro,"small gourd used as a drinking vessel. nkooku, join. word, as",small gourd used as a drinking vessel. nkooku; k \alpha nkooku nkuragiriire,small gourd used as a drinking vessel. nkooku; k \alpha nkooku nkuragiriire,what
nkoodo,Runyoro-Rutooro,"cow with horns that curve inwards and upwards. Nkone!,int.,expression of pity",,,
nkoole,Runyoro-Rutooro,edible fruit of the plant,enkoole nyamugobe,enkoole nyamugobe,
nkoora,Runyoro-Rutooro,"potato stems, potato slips for planting",potato stems,potato stems,
nkoozo,Runyoro-Rutooro,a bitter gourd,,,
nkoro,Runyoro-Rutooro,small gourd cup for giving milk to baby with,,,
nkorooto,Runyoro-Rutooro,large black raiding ant which eat stennites,,,
nkuba,Runyoro-Rutooro,"fabulous fowl supposed to cause thunder bolt and lightening, hence thunder and lightening",kateerwe en. etali maizi; fabulous fowl supposed to cause thunder bolt and lightening,kateerwe en. etali maizi; fabulous fowl supposed to cause thunder bolt and lightening,
nkubebe,Runyoro-Rutooro,worker termites,,,
nkubirane,Runyoro-Rutooro,"teera e11k., beat repeatedly, veer round (wind",,,
nkukuni,Runyoro-Rutooro,{pl.same,,,
nkule,Runyoro-Rutooro,horn trumpet,,,
